nama,provinsi,kabupaten_kota,alamat,titik_koordinat
Hutan Wisata Mangroove Lantebung,,Sulawesi,"Hutan Wisata Mangroove Lantebung, Sulawesi","-5.077014,119.4655973"
Pemandian Banyu Habang,Kalimantan Tengah,Barito Selatan,"Pemandian Banyu Habang, Barito Selatan","-1.6703509,114.905449"
Pemandian Cendana Harum,Kalimantan Tengah,Barito Selatan,"Pemandian Cendana Harum, Barito Selatan","-1.6706025,114.9058371"
Air Terjun Bulu Langi,Sulawesi Selatan ᨔᨘᨒᨓᨙᨔᨗ ᨑᨗᨕᨈ,Sulawesi,"Air Terjun Bulu Langi, Sulawesi","-3.2978811,119.7353132"
Air Terjun,Jawa Barat,Desa Pagandaran,"Air Terjun, Desa Pagandaran","-7.721905,108.659707"
Air Terjun Jammeng,Sulawesi Selatan ᨔᨘᨒᨓᨙᨔᨗ ᨑᨗᨕᨈ,Sulawesi,"Air Terjun Jammeng, Sulawesi","-6.2664018,120.5258454"
Kampung Djoker,Jawa Timur,Surabaya,Jalan Manukan Lor IV E,"-7.2593851,112.6616894"
Gunung Gajah,Daerah Istimewa Yogyakarta,Kulonprogo,"Gunung Gajah, Kulonprogo","-7.7229219,110.1274591"
Monumen Trisula Blitar,Jawa Timur,Blitar,Jl.Trisula Bakung Blitar,"-8.2593837,112.0745185"
Air Terjun Coban Kromo,Jawa Timur,Tulungagung,"Air Terjun Coban Kromo, Tulungagung","-8.1608565,111.8892288"
Wisata Londa,Sulawesi Selatan ᨔᨘᨒᨓᨙᨔᨗ ᨑᨗᨕᨈ,Toraja Utara,"Wisata Londa, Toraja Utara","-3.0153384,119.8763698"
Wisata Lemo,Sulawesi Selatan ᨔᨘᨒᨓᨙᨔᨗ ᨑᨗᨕᨈ,Tana Toraja,"Wisata Lemo, Tana Toraja","-3.0427863,119.8772437"
Kampung Tua Bitombang,Sulawesi Selatan ᨔᨘᨒᨓᨙᨔᨗ ᨑᨗᨕᨈ,Sulawesi,"Kampung Tua Bitombang, Sulawesi","-6.1513209,120.5077886"
Wisata Alam Permadian Malotong,Sulawesi Tengah,Tojo Una-Una,"Wisata Alam Permadian Malotong, Tojo Una-Una","-0.8858631,121.5227476"
Wisata Gunung Prongos Ngrayun,Jawa Timur,Ponorogo,"Wisata Gunung Prongos Ngrayun, Ponorogo","-8.1058255,111.487337"
Gunung Kotak,Jawa Timur,Ponorogo,"Gunung Kotak, Ponorogo","-8.0659411,111.4611707"
Pasar Anyar,Jawa Barat,Bogor,Jalan Dewi Sartika,"-6.5916299,106.7921421"
Taman Makam Pahlawan,Sumatera Selatan,Palembang,"Taman Makam Pahlawan, Palembang","-2.9626739,104.7424554"
Masjid Raya Ganting,Sumatera Barat,Padang,"Masjid Raya Ganting, Padang","-0.9545252,100.3694525"
Taman Purbakala Airmadidi Bawah,Sulawesi Utara,Minahasa Utara,"Taman Purbakala Airmadidi Bawah, Minahasa Utara","1.4196609,124.9758206"
Monumen Gerbong Maut,Jawa Timur,Bondowoso,"Monumen Gerbong Maut, Bondowoso","-7.9140563,113.8220181"
Taman Edukasi Tsunami,Aceh اچيه,Banda Aceh,"Taman Edukasi Tsunami, Banda Aceh","5.5464852,95.3068343"
Taman Ujung Water Palace,Bali,Karangasem,"Taman Ujung Water Palace, Karangasem","-8.4645321,115.6301242"
Candi Sewu,Jawa Tengah,Klaten,"Candi Sewu, Klaten","-7.7439189,110.4928841"
Monumen Pahlawan Nasional Sisingamangaraja,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Kota Medan ᯔᯩᯑᯉ᯲,"Monumen Pahlawan Nasional Sisingamangaraja, Kota Medan ᯔᯩᯑᯉ᯲","3.5649809,98.6929169"
Simpang Lima Gumul,Jawa Timur,Kabupaten Kediri,"Simpang Lima Gumul, Kabupaten Kediri","-7.8158956,112.0622592"
Pantai Kwaru,Daerah Istimewa Yogyakarta,Bantul,"Pantai Kwaru, Bantul","-7.9911841,110.2269068"
Pantai Baru,Daerah Istimewa Yogyakarta,Bantul,"Pantai Baru, Bantul","-7.9898945,110.2230211"
Pantai Glagah,Daerah Istimewa Yogyakarta,Kulonprogo,"Pantai Glagah, Kulonprogo","-7.9165301,110.0761782"
Museum Batak,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Samosir,"Museum Batak, Samosir","2.650669,98.8601072"
Pantai Sarangan,Daerah Istimewa Yogyakarta,Jawa,"Pantai Sarangan, Jawa","-8.1463072,110.599492"
Pantai Baron,Daerah Istimewa Yogyakarta,Jawa,"Pantai Baron, Jawa","-8.128913,110.5488438"
Pantai Kukup,Daerah Istimewa Yogyakarta,Kabupaten Gunungkidul ꦏꦧꦸꦥꦠꦺꦤ꧀ꦒꦸꦤꦸꦁꦏꦶꦢꦸꦭ꧀,"Pantai Kukup, Kabupaten Gunungkidul ꦏꦧꦸꦥꦠꦺꦤ꧀ꦒꦸꦤꦸꦁꦏꦶꦢꦸꦭ꧀","-8.1334704,110.5541395"
Pantai Sundak,Daerah Istimewa Yogyakarta,Kabupaten Gunungkidul ꦏꦧꦸꦥꦠꦺꦤ꧀ꦒꦸꦤꦸꦁꦏꦶꦢꦸꦭ꧀,"Pantai Sundak, Kabupaten Gunungkidul ꦏꦧꦸꦥꦠꦺꦤ꧀ꦒꦸꦤꦸꦁꦏꦶꦢꦸꦭ꧀","-8.1471582,110.6078605"
Pantai Sepanjang,Daerah Istimewa Yogyakarta,Kabupaten Gunungkidul ꦏꦧꦸꦥꦠꦺꦤ꧀ꦒꦸꦤꦸꦁꦏꦶꦢꦸꦭ꧀,"Pantai Sepanjang, Kabupaten Gunungkidul ꦏꦧꦸꦥꦠꦺꦤ꧀ꦒꦸꦤꦸꦁꦏꦶꦢꦸꦭ꧀","-8.1369059,110.5667744"
Pantai Drini,Daerah Istimewa Yogyakarta,Kabupaten Gunungkidul ꦏꦧꦸꦥꦠꦺꦤ꧀ꦒꦸꦤꦸꦁꦏꦶꦢꦸꦭ꧀,"Pantai Drini, Kabupaten Gunungkidul ꦏꦧꦸꦥꦠꦺꦤ꧀ꦒꦸꦤꦸꦁꦏꦶꦢꦸꦭ꧀","-8.1381047,110.5775814"
Pantai Indrayanti,Daerah Istimewa Yogyakarta,Kabupaten Gunungkidul ꦏꦧꦸꦥꦠꦺꦤ꧀ꦒꦸꦤꦸꦁꦏꦶꦢꦸꦭ꧀,"Pantai Indrayanti, Kabupaten Gunungkidul ꦏꦧꦸꦥꦠꦺꦤ꧀ꦒꦸꦤꦸꦁꦏꦶꦢꦸꦭ꧀","-8.1498757,110.6111925"
Pantai Pok Tunggal,Daerah Istimewa Yogyakarta,Jawa,"Pantai Pok Tunggal, Jawa","-8.1555158,110.6216017"
Pantai Siung,Daerah Istimewa Yogyakarta,Jawa,"Pantai Siung, Jawa","-8.1821636,110.6832452"
Wisata Goa Lebar,Jawa Timur,Sampang,Jl. Pahlawan G.5,"-7.1950125,113.2554346"
Simpang Lima Gumul,Jawa Timur,Kabupaten Kediri,"Simpang Lima Gumul, Kabupaten Kediri","-7.8158952,112.0622661"
pendopo citra niaga,Kalimantan Timur,Samarinda,"pendopo citra niaga, Samarinda","-0.503081,117.1494196"
Taman Wisata Loang Gali,Nusa Tenggara Barat,,"Taman Wisata Loang Gali, ","-8.5610402,116.5053682"
Tugu,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Samosir,"Tugu, Samosir","2.6793113,98.8361497"
Pasar Triwindu,Jawa Tengah,Surakarta,"Pasar Triwindu, Surakarta","-7.5691863,110.8225492"
Wisata Kuliner Bili-Bili,Sulawesi Selatan ᨔᨘᨒᨓᨙᨔᨗ ᨑᨗᨕᨈ,Sulawesi,"Wisata Kuliner Bili-Bili, Sulawesi","-5.2515072,119.5914161"
Pasar Tradisional Singkawang,Kalimantan Barat,Singkawang,"Pasar Tradisional Singkawang, Singkawang","0.9073837,108.9912639"
Pantai Goa Cemara,Daerah Istimewa Yogyakarta,Bantul,"Pantai Goa Cemara, Bantul","-8.0000533,110.2511568"
Klenteng Tien Kok Sie,Jawa Tengah,Surakarta,"Klenteng Tien Kok Sie, Surakarta","-7.5697165,110.8313228"
Gunung Kunci,Jawa Barat,Sumedang,"Gunung Kunci, Sumedang","-6.8551806,107.9176424"
Pantai Timang,Daerah Istimewa Yogyakarta,Kabupaten Gunungkidul ꦏꦧꦸꦥꦠꦺꦤ꧀ꦒꦸꦤꦸꦁꦏꦶꦢꦸꦭ꧀,"Pantai Timang, Kabupaten Gunungkidul ꦏꦧꦸꦥꦠꦺꦤ꧀ꦒꦸꦤꦸꦁꦏꦶꦢꦸꦭ꧀","-8.1756466,110.6632618"
Pantai Watu Lumbung,Daerah Istimewa Yogyakarta,Kabupaten Gunungkidul ꦏꦧꦸꦥꦠꦺꦤ꧀ꦒꦸꦤꦸꦁꦏꦶꦢꦸꦭ꧀,"Pantai Watu Lumbung, Kabupaten Gunungkidul ꦏꦧꦸꦥꦠꦺꦤ꧀ꦒꦸꦤꦸꦁꦏꦶꦢꦸꦭ꧀","-8.1862943,110.7002245"
Taman Tirtagangga,Bali,Karangasem,"Taman Tirtagangga, Karangasem","-8.4123597,115.5868583"
Wisata Warung Lesehan Pantai Marunda,,Daerah Khusus ibukota Jakarta,"Wisata Warung Lesehan Pantai Marunda, Daerah Khusus ibukota Jakarta","-6.0933382,106.9603846"
Pasar Seni Guwang,Bali,Gianyar,"Pasar Seni Guwang, Gianyar","-8.6046289,115.280483"
Makam Raja-Raja Bugis,Aceh اچيه,Banda Aceh,"Makam Raja-Raja Bugis, Banda Aceh","5.5490287,95.3207744"
Taman Tjong Yong Hian,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Kota Medan ᯔᯩᯑᯉ᯲,"Taman Tjong Yong Hian, Kota Medan ᯔᯩᯑᯉ᯲","3.5861173,98.6693324"
Taman Wisata Mekarsari,Jawa Barat,Kab Bogor,"Taman Wisata Mekarsari, Kab Bogor","-6.4158494,106.984967"
Kolam buaya,Jawa Barat,Kab Bogor,"Kolam buaya, Kab Bogor","-6.7222236,106.9500565"
Candi Mendut,Jawa Tengah,Magelang,"Candi Mendut, Magelang","-7.6048141,110.2301192"
Monumen Korban 40.000 Jiwa,Sulawesi Selatan ᨔᨘᨒᨓᨙᨔᨗ ᨑᨗᨕᨈ,Parepare,"Monumen Korban 40.000 Jiwa, Parepare","-4.0089503,119.6220015"
Kampung Adat Wunga,Nusa Tenggara Timur,Sumba Timur,"Kampung Adat Wunga, Sumba Timur","-9.3763392,119.9404451"
Pasar Senggol Kuta,Bali,Badung,"Pasar Senggol Kuta, Badung","-8.7248891,115.1783303"
Taman Karangasem,Daerah Istimewa Yogyakarta,Sleman,"Taman Karangasem, Sleman","-7.7503745,110.4105809"
taman kecil,Daerah Istimewa Yogyakarta,Sleman,"taman kecil, Sleman","-7.7490065,110.4023117"
Taman,Daerah Istimewa Yogyakarta,Sleman,"Taman, Sleman","-7.745247,110.412357"
taman sekolah,Daerah Istimewa Yogyakarta,Sleman,"taman sekolah, Sleman","-7.7525102,110.3948798"
Taman sekolah,Daerah Istimewa Yogyakarta,Sleman,"Taman sekolah, Sleman","-7.7487677,110.4082506"
taman kecil,Daerah Istimewa Yogyakarta,Sleman,"taman kecil, Sleman","-7.7460016,110.4142024"
Taman mungil,Daerah Istimewa Yogyakarta,Sleman,"Taman mungil, Sleman","-7.7491578,110.409715"
Taman Kuliner Utara,Daerah Istimewa Yogyakarta,Sleman,"Taman Kuliner Utara, Sleman","-7.7550816,110.3947555"
Taman Dero,Daerah Istimewa Yogyakarta,Sleman,"Taman Dero, Sleman","-7.7532832,110.4095405"
Taman Budaya Garuda Wisnu Kencana,Bali,Badung,"Jl. Raya Uluwatu, Ungasan,","-8.8103903,115.1646218"
Taman Sari Water Castle,Daerah Istimewa Yogyakarta,Kota Yogyakarta,"Taman Sari Water Castle, Kota Yogyakarta","-7.8099778,110.3591268"
Rumah Adat Lamin Kutai Guntung,Kalimantan Timur,Bontang,"Rumah Adat Lamin Kutai Guntung, Bontang","0.197837,117.4729731"
Candi Pawon,Jawa Tengah,Magelang,"Candi Pawon, Magelang","-7.6061281,110.2195602"
Balai Sentra Handicrafts,Kalimantan Barat,Kapuas Hulu,"Balai Sentra Handicrafts, Kapuas Hulu","0.8957791,112.9359142"
Pantai Bali Lestari,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Serdang Bedagai,"Pantai Bali Lestari, Serdang Bedagai","3.6541035,98.9795557"
Pantai Pondok Permai,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Serdang Bedagai,"Pantai Pondok Permai, Serdang Bedagai","3.6550591,98.9770385"
Candi Plaosan Lor,Jawa Tengah,Klaten,"Candi Plaosan Lor, Klaten","-7.7405467,110.5045521"
Pantai Porok,Daerah Istimewa Yogyakarta,Kabupaten Gunungkidul ꦏꦧꦸꦥꦠꦺꦤ꧀ꦒꦸꦤꦸꦁꦏꦶꦢꦸꦭ꧀,"Pantai Porok, Kabupaten Gunungkidul ꦏꦧꦸꦥꦠꦺꦤ꧀ꦒꦸꦤꦸꦁꦏꦶꦢꦸꦭ꧀","-8.1342145,110.5577541"
Pantai Lolang,Daerah Istimewa Yogyakarta,Kabupaten Gunungkidul ꦏꦧꦸꦥꦠꦺꦤ꧀ꦒꦸꦤꦸꦁꦏꦶꦢꦸꦭ꧀,"Pantai Lolang, Kabupaten Gunungkidul ꦏꦧꦸꦥꦠꦺꦤ꧀ꦒꦸꦤꦸꦁꦏꦶꦢꦸꦭ꧀","-8.136181,110.5627768"
tugu burung silindid,Riau رياو,Dumai,"tugu burung silindid, Dumai","1.6780276,101.441204"
Bukit Cemara,Sumatera Barat,Sawahlunto,"Bukit Cemara, Sawahlunto","-0.674161,100.7732892"
Taman Ngarai Maaram,Sumatera Barat,Bukittinggi,"Taman Ngarai Maaram, Bukittinggi","-0.3011504,100.3646766"
Candi Sukuh,Jawa Tengah,Karanganyar,"Candi Sukuh, Karanganyar","-7.6273152,111.1315373"
Candi Cetho,Jawa Tengah,Karanganyar,"Candi Cetho, Karanganyar","-7.5957362,111.1581311"
Pantai Sangleng,Daerah Istimewa Yogyakarta,Kabupaten Gunungkidul ꦏꦧꦸꦥꦠꦺꦤ꧀ꦒꦸꦤꦸꦁꦏꦶꦢꦸꦭ꧀,"Pantai Sangleng, Kabupaten Gunungkidul ꦏꦧꦸꦥꦠꦺꦤ꧀ꦒꦸꦤꦸꦁꦏꦶꦢꦸꦭ꧀","-8.1371545,110.5711953"
Kampung Wisata,Jawa Barat,Kab Bogor,"Kampung Wisata, Kab Bogor","-6.3684975,106.9580228"
Kampung Ketupat,Kalimantan Selatan,Banjarmasin,"Kampung Ketupat, Banjarmasin","-3.3229476,114.596141"
Wisata Kebun Gowa,Sulawesi Selatan ᨔᨘᨒᨓᨙᨔᨗ ᨑᨗᨕᨈ,Sulawesi,"Wisata Kebun Gowa, Sulawesi","-5.2336016,119.5235895"
Wisata Taman Jati,Sulawesi Tengah,Langaleso,"Wisata Taman Jati, Langaleso","-0.9873285,119.8947054"
Bukit Kayangan,Jawa Tengah,Pati,"Bukit Kayangan, Pati","-6.6545213,110.9370497"
Bukit Rasamala,Jawa Tengah,Pati,"Bukit Rasamala, Pati","-6.6294522,110.9528873"
Patung Surabaya,Jawa Timur,Surabaya,"Patung Surabaya, Surabaya","-7.2253563,112.7882102"
Taman Wisata Mangrove Klawalu,Papua Barat Daya,Sorong,"Taman Wisata Mangrove Klawalu, Sorong","-0.9136471,131.307258"
Wisata Pemancingan Danau Philipine,Kalimantan Timur,Kutai Timur,"Wisata Pemancingan Danau Philipine, Kutai Timur","1.3921901,117.6245674"
Air Terjun BSI,Jawa Barat,Indramayu,"Air Terjun BSI, Indramayu","-6.3434261,108.3197047"
Rumah Adat Aceh,Aceh اچيه,Langsa,"Rumah Adat Aceh, Langsa","4.4896699,97.9441057"
Kampung Tahu Tinalan,Jawa Timur,Kota Kediri,Jalan Tinalan Gang 4,"-7.829336,112.028038"
Pasar Ikan Bersih Singkawang,Kalimantan Barat,Singkawang,"Pasar Ikan Bersih Singkawang, Singkawang","0.9071974,108.9908813"
Pantai Grand Watu Dodol (GWK),Jawa Timur,Banyuwangi,"Pantai Grand Watu Dodol (GWK), Banyuwangi","-8.0874385,114.4165218"
Wisata Religi Miniatur Ka'bah,Jawa Timur,Probolinggo,"Wisata Religi Miniatur Ka'bah, Probolinggo","-7.7871113,113.280333"
Pantai Karangjahe,Jawa Tengah,Rembang,"Pantai Karangjahe, Rembang","-6.6868751,111.4120869"
Pasar Brumbung,Jawa Tengah,Rembang,"Pasar Brumbung, Rembang","-6.7474798,111.2955392"
Taman Makam Pahlawan Tulang Bawang,Lampung,Tulang Bawang,"Taman Makam Pahlawan Tulang Bawang, Tulang Bawang","-4.5165965,105.2318369"
Tugu Penyerahan Kedaulatan,Kalimantan Barat,Singkawang,"Tugu Penyerahan Kedaulatan, Singkawang","0.9110547,108.9890377"
Pantai Istana Amal,Kalimantan Timur,Penajam Paser Utara,"Pantai Istana Amal, Penajam Paser Utara","-1.2711688,116.7665554"
Wisata Hutan Pinus Cisidin,Banten ᮘᮔ᮪ᮒᮨᮔ᮪,Lebak,"Wisata Hutan Pinus Cisidin, Lebak","-6.6423757,106.3818185"
Kolam Renang Telaga Biru & Wisata Alam Situ Parengrang,Banten ᮘᮔ᮪ᮒᮨᮔ᮪,Lebak,"Kolam Renang Telaga Biru & Wisata Alam Situ Parengrang, Lebak","-6.6638362,106.359324"
Rumah Adat Kuta Rekan Tatau,Kalimantan Timur,Penajam Paser Utara,"Rumah Adat Kuta Rekan Tatau, Penajam Paser Utara","-1.3080174,116.737711"
Kampung Ekowisata Keranggan,Banten ᮘᮔ᮪ᮒᮨᮔ᮪,Tangerang Selatan,"Kampung Ekowisata Keranggan, Tangerang Selatan","-6.3479669,106.6522388"
Pasar Malam Semawis,Jawa Tengah,Kota Semarang,"Pasar Malam Semawis, Kota Semarang","-6.9747414,110.426697"
Danau Paisu Pok Luk Panenteng,Sulawesi Tengah,Banggai Kepulauan,"Danau Paisu Pok Luk Panenteng, Banggai Kepulauan","-1.2177869,122.9732009"
WISATA KEBUN JATI GELEBUG CANDRA,Sulawesi Utara,Bolaang Mongondow,"WISATA KEBUN JATI GELEBUG CANDRA, Bolaang Mongondow","0.5569515,123.9639173"
Wisata Watu Gendong,Daerah Istimewa Yogyakarta,Kabupaten Gunungkidul ꦏꦧꦸꦥꦠꦺꦤ꧀ꦒꦸꦤꦸꦁꦏꦶꦢꦸꦭ꧀,"Wisata Watu Gendong, Kabupaten Gunungkidul ꦏꦧꦸꦥꦠꦺꦤ꧀ꦒꦸꦤꦸꦁꦏꦶꦢꦸꦭ꧀","-7.8403724,110.670125"
Wisata Sawah Lope,Jawa Barat,Kuningan,"Wisata Sawah Lope, Kuningan","-6.9368604,108.4987824"
Wisata Bukit Kapur Mini Grand Canyon,Riau رياو,Pekanbaru,"Wisata Bukit Kapur Mini Grand Canyon, Pekanbaru","0.5009329,101.3548841"
Wisata Alam Pulau Cinta,Riau رياو,Kampar,"Wisata Alam Pulau Cinta, Kampar","0.3853294,101.4122158"
Pasar Seni Sukawati,Bali,Gianyar,Jalan Raya Sukawati,"-8.5962609,115.2824364"
Taman Nusa Bali,Bali,Gianyar,"Jl. Taman Bali – Banjarangkan, Banjar Blahpane Kelod, Desa Sidan, Sidan, Kec. Gianyar, Kabupaten Gianyar, Bali","-8.5309933,115.3595278"
Masjid Sumur Gumuling,Daerah Istimewa Yogyakarta,Kota Yogyakarta,"Masjid Sumur Gumuling, Kota Yogyakarta","-7.8087759,110.3592105"
Danau Batur,Bali,Bangli,"Danau Batur, Bangli","-8.2549847,115.40258"
Pantai Lengkuas,Kepulauan Bangka Belitung,Sumatera,"Pantai Lengkuas, Sumatera","-2.53723,107.6215372"
NAMA,PROVINSI,KABUPATEN/KOTA,ALAMAT,TITIK_KOORDINAT
Candi Kul Kul,DKI Jakarta,Daerah Khusus ibukota Jakarta,"Candi Kul Kul, Daerah Khusus ibukota Jakarta","-6.1219264,106.8393104"
Patung Ondel-ondel,DKI Jakarta,Daerah Khusus ibukota Jakarta,"Patung Ondel-ondel, Daerah Khusus ibukota Jakarta","-6.1599971,106.8517512"
Makam Shekh Mubarok,Banten,Kabupaten Tangerang,"Makam Shekh Mubarok, Kabupaten Tangerang","-6.2471225,106.4484787"
Hutan Wisata Mangroove Lantebung,Sulawesi Selatan,Makkasar,"Hutan Wisata Mangroove Lantebung, Sulawesi","-5.077014,119.4655973"
Wisata Warung Lesehan Pantai Marunda,DKI Jakarta,Daerah Khusus ibukota Jakarta,"Wisata Warung Lesehan Pantai Marunda, Daerah Khusus ibukota Jakarta","-6.0933382,106.9603846"
Candi Gunung Wukir,Jawa Tengah,Magelang ꦩꦒꦼꦭꦁ,"Candi Gunung Wukir, Magelang ꦩꦒꦼꦭꦁ","-7.6342417,110.2968186"
Candi Sojiwan,Jawa Tengah,Klaten ꦏ꧀ꦭꦠꦺꦤ꧀,"Candi Sojiwan, Klaten ꦏ꧀ꦭꦠꦺꦤ꧀","-7.7608885,110.4961263"
Candi Umbul,Jawa Tengah,Magelang ꦩꦒꦼꦭꦁ,"Candi Umbul, Magelang ꦩꦒꦼꦭꦁ","-7.359577,110.297108"
Air Terjun Telunjuk Raung,Jawa Timur,Banyuwangi ꦧꦚꦸꦮꦔꦶ,Songgon,"-8.1717934,114.1419868"
Patung Gandrung,Jawa Timur,Banyuwangi ꦧꦚꦸꦮꦔꦶ,"Patung Gandrung, Banyuwangi ꦧꦚꦸꦮꦔꦶ","-8.0923889,114.4155894"
Air Terjun Parang Ijo,Jawa Tengah,Karanganyar ꦏꦫꦁꦄꦚꦂ,"Air Terjun Parang Ijo, Karanganyar ꦏꦫꦁꦄꦚꦂ","-7.6218307,111.1340236"
Air Terjun Jumog,Jawa Tengah,Karanganyar ꦏꦫꦁꦄꦚꦂ,"Air Terjun Jumog, Karanganyar ꦏꦫꦁꦄꦚꦂ","-7.6312129,111.1269212"
Bukit Wisata Pulepayung,Daerah Istimewa Yogyakarta,Kulonprogo ꦏꦸꦭꦺꦴꦤ꧀ꦥꦿꦒ,"Bukit Wisata Pulepayung, Kulonprogo ꦏꦸꦭꦺꦴꦤ꧀ꦥꦿꦒ","-7.7999084,110.1234788"
Bukit Rhema (Chicken Church),Jawa Tengah,Magelang ꦩꦒꦼꦭꦁ,"Bukit Rhema (Chicken Church), Magelang ꦩꦒꦼꦭꦁ","-7.6056122,110.1805905"
Makam Abdul Wahid,Jawa Tengah,Salatiga ꦱꦭꦠꦶꦒ,"Makam Abdul Wahid, Salatiga ꦱꦭꦠꦶꦒ","-7.3566971,110.5237332"
Taman Sungai Mudal,Daerah Istimewa Yogyakarta,Kulonprogo ꦏꦸꦭꦺꦴꦤ꧀ꦥꦿꦒ,"Taman Sungai Mudal, Kulonprogo ꦏꦸꦭꦺꦴꦤ꧀ꦥꦿꦒ","-7.7628526,110.1164352"
Pemandian Air Panas Tirta Madu Barokah,Jawa Tengah,Magelang ꦩꦒꦼꦭꦁ,"Pemandian Air Panas Tirta Madu Barokah, Magelang ꦩꦒꦼꦭꦁ","-7.5696484,110.1875255"
Pemandian Air Panas Ngasinan,Jawa Tengah,Magelang ꦩꦒꦼꦭꦁ,"Pemandian Air Panas Ngasinan, Magelang ꦩꦒꦼꦭꦁ","-7.5687256,110.1875824"
Taman Air Kalibening,Jawa Tengah,Magelang ꦩꦒꦼꦭꦁ,"Taman Air Kalibening, Magelang ꦩꦒꦼꦭꦁ","-7.4233524,110.2208518"
Gunung Gajah,Daerah Istimewa Yogyakarta,Kulonprogo ꦏꦸꦭꦺꦴꦤ꧀ꦥꦿꦒ,"Gunung Gajah, Kulonprogo ꦏꦸꦭꦺꦴꦤ꧀ꦥꦿꦒ","-7.7229219,110.1274591"
Gunung Kotak,Jawa Timur,Ponorogo ꦥꦤꦫꦒ,"Gunung Kotak, Ponorogo ꦥꦤꦫꦒ","-8.0659411,111.4611707"
Candi Sewu,Jawa Tengah,Klaten ꦏ꧀ꦭꦠꦺꦤ꧀,"Candi Sewu, Klaten ꦏ꧀ꦭꦠꦺꦤ꧀","-7.7439189,110.4928841"
Pantai Glagah,Daerah Istimewa Yogyakarta,Kulonprogo ꦏꦸꦭꦺꦴꦤ꧀ꦥꦿꦒ,"Pantai Glagah, Kulonprogo ꦏꦸꦭꦺꦴꦤ꧀ꦥꦿꦒ","-7.9165301,110.0761782"
Pasar Triwindu,Jawa Tengah,Surakarta ꦱꦸꦫꦏꦂꦠ,"Pasar Triwindu, Surakarta ꦱꦸꦫꦏꦂꦠ","-7.5691863,110.8225492"
Candi Mendut,Jawa Tengah,Magelang ꦩꦒꦼꦭꦁ,"Candi Mendut, Magelang ꦩꦒꦼꦭꦁ","-7.6048141,110.2301192"
Candi Pawon,Jawa Tengah,Magelang ꦩꦒꦼꦭꦁ,"Candi Pawon, Magelang ꦩꦒꦼꦭꦁ","-7.6061281,110.2195602"
Candi Plaosan Lor,Jawa Tengah,Klaten ꦏ꧀ꦭꦠꦺꦤ꧀,"Candi Plaosan Lor, Klaten ꦏ꧀ꦭꦠꦺꦤ꧀","-7.7405467,110.5045521"
Candi Sukuh,Jawa Tengah,Karanganyar ꦏꦫꦁꦄꦚꦂ,"Candi Sukuh, Karanganyar ꦏꦫꦁꦄꦚꦂ","-7.6273152,111.1315373"
Candi Cetho,Jawa Tengah,Karanganyar ꦏꦫꦁꦄꦚꦂ,"Candi Cetho, Karanganyar ꦏꦫꦁꦄꦚꦂ","-7.5957362,111.1581311"
Pantai Grand Watu Dodol (GWK),Jawa Timur,Banyuwangi ꦧꦚꦸꦮꦔꦶ,"Pantai Grand Watu Dodol (GWK), Banyuwangi ꦧꦚꦸꦮꦔꦶ","-8.0874385,114.4165218"
Taman Burung Bali Bird Park,Bali,Gianyar,"Taman Burung Bali Bird Park, Gianyar","-8.6111344,115.2596437"
Kebun Binatang,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Deli Serdang,"Kebun Binatang, Deli Serdang","3.4829802,98.6425527"
Taman Marga Satwa Kasang Kulim,Riau رياو,Kampar,Jalan Haji Usman,"0.4189627,101.4062602"
Taman Satwa Banjarmasin Bungas,Kalimantan Selatan,Banjarmasin,"Taman Satwa Banjarmasin Bungas, Banjarmasin","-3.3080067,114.6033845"
Tebing Keraton,Jawa Barat,Kabupaten Bandung,Kp. Ciharegem Puncak,"-6.8348584,107.6638952"
Tebing Makariki,Maluku,Maluku Tengah,"Tebing Makariki, Maluku Tengah","-3.2973863,129.5506074"
Objek Wisata Palawa',Sulawesi Selatan ᨔᨘᨒᨓᨙᨔᨗ ᨑᨗᨕᨈ,Toraja Utara,Jalan Palawa',"-2.9072964,119.9396894"
Taman Safari Indonesia Prigen,Jawa Timur,Pasuruan,"Taman Safari Indonesia Prigen, Pasuruan","-7.752837,112.667453"
Kebun Binatang Cikembulan,Jawa Barat,Cikembulan,"Taman Satwa Cikembulan
Kebun Binatang Cikembulan, Cikembulan","-7.0841178,107.9155195"
Objek Wisata Pagat,Kalimantan Selatan,Hulu Sungai Tengah,"Objek Wisata Pagat, Hulu Sungai Tengah","-2.6312068,115.4222506"
Tebing apparalang,Sulawesi Selatan ᨔᨘᨒᨓᨙᨔᨗ ᨑᨗᨕᨈ,Sulawesi,"Tebing apparalang, Sulawesi","-5.5421076,120.4502522"
